NAMESHORT_SB;NAME_SB;URL_SB;NAME_NORDNET;NAMESHORT_NORDNET;URL_NN;MARKET_ID;IDENTIFIER_ID;GROUP_BUY;PRICE;BUYS_TOTAL;BUYS_24_PERCENT_CORRECT;PRICE_CHANGE_PERCENT_AVERAGE;PRICE_CHANGE_PERCENT_MEDIAN;BUY_AVERAGE_FAILED_PERCENT_CHANGE;BUY_AVERAGE_SUCCESS_PERCENT_CHANGE;BUY_MEDIAN_FAILED_PERCENT_CHANGE;BUY_MEDIAN_SUCCESS_PERCENT_CHANGE;BUYANDFAIL_MEDIAN_KEYVALUE;BUYANDFAIL_AVERAGE_KEYVALUE;MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;MEDIAN_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;AVERAGE_BUY_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_MEDIAN_KEYVALUE_AND_MEDIAN_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;SUM_BUYANDFAIL_AVERAGE_KEYVALUE_AND_AVERAGE_BUY_SELL_INTRADAY-CLOSING_PERCENT_CHANGE;HIGHEST_THROUGH_CURRENT_PERCENT_CHANGE;TRADE_PRICE;TRADE_TYPE;TRADE_TIME;TRADE_PERCENT_CHANGE
VIT-B.ST;VITEC SOFTWARE GROUP B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VIT-B.ST;Vitec Software Group AB ser. B;VIT B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5177&marketid=11;11;5177;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;81.2;35;51.4;2.48;1.43;-1.18;5.36;-0.94;4.68;1.93;2.17;-0.39;-0.63;0.53;0.75;1.54;1.54;1.01;0.79;1.11;80.8;BUY;2018-07-27;
SPOR.ST;SPORTAMORE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SPOR.ST;Sportamore AB;SPOR;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=90180&marketid=11;11;90180;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;97.1;33;68.8;5.47;3.7;-1.47;8.8;-1.23;5.13;3.05;5.5;-0.7;-1.38;0.74;1.38;2.35;4.12;1.61;2.74;1.38;99.8;BUY;2018-07-27;
NOTE.ST;NOTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;NOTE AB;NOTE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25319&marketid=11;11;25319;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;20.85;31;67.7;4.24;2.06;-0.95;6.63;-0.96;5.12;3.07;4.09;-0.54;-0.79;0.72;1.02;2.53;3.3;1.81;2.28;1.33;24.05;SELL;2018-07-30;16.18
BACTI-B.ST;BACTIGUARD HOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;Bactiguard Holding AB;BACTI B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11;11;101601;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;37.3;31;66.7;4.58;2.6;-2.26;7.36;-1.25;6.12;3.5;3.99;-0.85;-1.2;1.2;1.88;2.65;2.79;1.45;0.91;1;37.6;BUY;2018-07-31;
SOF-B.ST;SOFTRONIC B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SOF-B.ST;Softronic AB ser. B;SOF B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1546&marketid=11;11;1546;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;21.9;31;54.8;3.22;1.71;-1.4;7.24;-1.32;6.1;2.7;3.29;-0.49;-0.65;0.64;0.9;2.21;2.64;1.57;1.74;1.04;22.7;SELL;2018-08-01;-0.87
NOTE.ST;NOTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;NOTE AB;NOTE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25319&marketid=11;11;25319;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;24.3;30;66.7;4.3;2.02;-0.95;6.15;-0.96;4.76;2.69;3.62;-0.61;-0.88;0.72;1.02;2.08;2.74;1.36;1.72;1.21;24;BUY;2018-08-01;
ACAN-B.ST;ACANDO;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACAN-B.ST;Acando AB ser. B;ACAN B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=981&marketid=11;11;981;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;32.35;32;71;3.62;2.85;-1.63;5.48;-1.27;4.38;2.53;3.21;-0.42;-0.89;0.64;0.97;2.11;2.32;1.47;1.35;1.04;32.85;BUY;2018-08-02;
BACTI-B.ST;BACTIGUARD HOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;Bactiguard Holding AB;BACTI B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11;11;101601;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;37.3;31;66.7;4.58;2.6;-2.26;7.36;-1.25;6.12;3.5;3.99;-0.85;-1.2;1.2;1.88;2.65;2.79;1.45;0.91;1;36.5;SELL;2018-08-02;-2.93
ENQ.ST;ENQUEST;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;EnQuest PLC;ENQ;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11;11;75073;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;4.145;34;72.7;7.74;4.05;-2.63;11.07;-2.07;7.86;4.92;7.1;-0.99;-0.75;1.83;3.64;3.93;6.35;2.1;2.71;1.4;4.2;BUY;2018-08-02;
COPP-B.ST;COPPERSTONE RESOURCE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COPP-B.ST;Copperstone Resources AB ser. B;COPP B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=38904&marketid=11;11;38904;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;1.047;33;56.2;9.79;5.24;-3.25;18.68;-3.15;15.67;7.36;9.01;-1.84;-2.11;1.36;3.47;5.52;6.9;4.16;3.43;2.02;1.006;SELL;2018-08-02;-2.33
NOTE.ST;NOTE;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NOTE.ST;NOTE AB;NOTE;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25319&marketid=11;11;25319;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;24.3;30;66.7;4.3;2.02;-0.95;6.15;-0.96;4.76;2.69;3.62;-0.61;-0.88;0.72;1.02;2.08;2.74;1.36;1.72;1.21;23.45;SELL;2018-08-03;-2.29
BACTI-B.ST;BACTIGUARD HOLD;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;Bactiguard Holding AB;BACTI B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11;11;101601;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;37.3;31;66.7;4.58;2.6;-2.26;7.36;-1.25;6.12;3.5;3.99;-0.85;-1.2;1.2;1.88;2.65;2.79;1.45;0.91;1;37;BUY;2018-08-06;
RAY-B.ST;RAYSEARCH LABORATORIES B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=RAY-B.ST;RaySearch Laboratories AB ser. B;RAY B;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1063&marketid=11;11;1063;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;117.9;33;60.6;5.65;2.8;-0.83;8.42;-0.47;5.98;3.33;4.67;-0.73;-1.92;1.13;1.41;2.6;2.75;1.47;1.34;2.54;119;BUY;2018-08-06;
SES.ST;SCAND ENVIRO SYS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SES.ST;Scandinavian Enviro Systems AB;SES;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101603&marketid=11;11;101603;1_median_buyAndSellIntradayClosing_and_buy_medianCorrectAndFailKeyValue;0.98;34;48.5;11.94;4.34;-2.28;27.01;-1.86;13.29;5.5;11.94;-1.51;-2.9;1.32;4.4;3.99;9.04;2.67;4.64;3.27;0.978;BUY;2018-08-06;
