NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
ANNX.ST;ANNEXIN PHARMACEUTICALS;5.6;64.7;175;63.2;218;63.2;218;63.7;203;5.22;0.56;9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANNX.ST;11;136293;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136293&marketid=11
ANOD-B.ST;ADDNODE GROUP;84.2;50.0;112;52.9;138;56.5;202;53.1;150;2.85;0.82;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOD-B.ST;11;3887;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3887&marketid=11
ANOT.ST;ANOTO GROUP;4.776;64.7;300;67.7;1089;69.7;4314;67.4;1901;8.16;1.27;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ANOT.ST;11;5110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5110&marketid=11
AOI.ST;AFRICA OIL;8.205;55.0;120;51.2;113;50.6;152;52.3;128;1.81;-0.31;40;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AOI.ST;11;77948;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=77948&marketid=11
AQ.ST;AROS QUALITY;175.0;60.0;105;64.4;114;61.0;170;61.8;129;1.45;0.72;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AQ.ST;11;13236;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13236&marketid=11
ARCM.ST;ARCAM;345.0;63.6;105;59.3;107;61.5;301;61.5;171;4.61;0.55;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCM.ST;N/A;N/A;N/A
ARCOMA.ST;ARCOMA;7.46;52.4;137;51.5;158;42.6;123;48.8;139;1.69;-0.12;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCOMA.ST;11;103617;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103617&marketid=11
ARCT.ST;ARCTIC GOLD;0.676;52.9;225;48.6;268;52.2;654;51.2;382;5.0;-0.71;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARCT.ST;N/A;N/A;N/A
ARISE.ST;ARISE AB;12.8;47.1;120;58.3;163;55.1;244;53.5;175;1.79;0.12;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARISE.ST;11;74570;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=74570&marketid=11
AROC.ST;AROCELL;3.18;66.7;95;53.5;112;52.0;136;57.4;114;0.5;-1.55;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AROC.ST;N/A;N/A;N/A
ARP.ST;ARCTIC PAPER;9.12;66.7;134;60.6;150;61.2;209;62.8;164;1.89;0.65;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ARP.ST;11;91264;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=91264&marketid=11
ASSA-B.ST;ASSA ABLOY B;184.4;45.8;99;44.7;107;55.1;124;48.5;110;0.98;0.76;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;11;402;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=402&marketid=11
ATCO-A.ST;ATLAS COPCO A;357.6;69.2;108;63.6;120;54.9;161;62.6;129;1.72;1.15;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-A.ST;11;45;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=45&marketid=11
ATCO-B.ST;ATLAS COPCO B;319.1;64.7;104;58.5;123;55.7;156;59.6;127;1.68;1.24;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATCO-B.ST;11;46;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=46&marketid=11
ATIC.ST;ACTIC GROUP;39.45;82.4;171;75.0;179;75.0;179;77.5;176;2.82;1.74;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATIC.ST;11;135947;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135947&marketid=11
ATORX.ST;ALLIGATOR BIOSCIENCE;24.35;54.5;122;52.4;115;52.3;115;53.1;117;0.54;-0.1;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATORX.ST;11;129022;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129022&marketid=11
ATRLJ-B.ST;ATRIUM LJUNGBERG B;128.4;66.7;103;58.6;104;62.3;151;62.5;119;1.76;1.38;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATRLJ-B.ST;11;1011;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1011&marketid=11
ATT.ST;ATTENDO;81.3;50.0;96;55.3;113;61.9;173;55.7;127;1.61;1.03;42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ATT.ST;11;115956;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115956&marketid=11
AUR.ST;AURIANT MINING;1.91;50.0;90;44.4;48;55.6;443;50.0;193;7.04;-0.78;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUR.ST;11;76848;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=76848&marketid=11
AUTO.ST;VA AUTOMOTIVE;0.4585;40.0;193;55.9;243;52.5;279;49.5;238;0.55;-0.5;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AUTO.ST;N/A;N/A;N/A
AVEG-B.ST;AVEGA GROUP ser. B;;;;;;;;;;;;;;N/A;N/A;N/A
AVEN.ST;AVENSIA;8.2;45.5;124;51.9;123;50.8;199;49.4;148;2.7;0.79;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVEN.ST;11;5101;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5101&marketid=11
AVT-B.ST;AVTECH SWEDEN;2.96;75.0;116;67.6;218;51.3;172;64.6;168;1.69;-0.77;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AVT-B.ST;11;86868;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=86868&marketid=11
AXFO.ST;AXFOOD;154.15;57.1;116;40.4;105;50.6;123;49.4;114;0.66;0.43;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;11;4590;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4590&marketid=11
AXIC-A.ST;AXICHEM A;14.85;70.6;211;67.9;311;59.2;332;65.9;284;4.77;-1.55;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIC-A.ST;11;80256;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=80256&marketid=11
AXIS.ST;AXIS;332.0;33.3;98;46.7;105;48.4;119;42.8;107;0.63;-0.37;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXIS.ST;11;5150;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5150&marketid=11
AZA.ST;AVANZA BANK HOLDING;466.4;66.7;138;76.9;163;76.9;321;73.5;207;2.76;1.49;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZA.ST;11;988;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=988&marketid=11
AZN.ST;ASTRAZENECA;552.7;75.0;108;66.7;148;66.2;236;69.3;164;2.62;1.61;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AZN.ST;11;3524;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3524&marketid=11
B3IT.ST;B3IT MANAGEMENT;83.4;42.1;94;43.9;99;44.4;112;43.5;101;0.69;-0.3;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=B3IT.ST;11;123339;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123339&marketid=11
BACTI-B.ST;BACTIGUARD HOLD;21.0;50.0;110;50.0;148;56.2;256;52.1;171;3.26;1.82;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BACTI-B.ST;11;101601;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101601&marketid=11
BALD-B.ST;FASTIGHETS BALDER B;210.0;66.7;114;60.0;123;56.2;153;61.0;130;1.11;0.59;44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BALD-B.ST;11;4212;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4212&marketid=11
BALD-PREF.ST;FASTIGHETS AB BALDER PRF;;;;;;;;;;;;;;N/A;N/A;N/A
BAYN.ST;BAYN EUROPE;1.655;60.0;146;51.4;326;56.7;816;56.0;429;4.75;0.0;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BAYN.ST;11;103618;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103618&marketid=11
BEGR.ST;BE GROUP;50.5;58.8;118;57.1;192;56.9;379;57.6;229;4.6;2.74;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;11;37309;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11
BEIA-B.ST;BEIJER ALMA B;241.5;57.1;108;59.5;150;53.5;162;56.7;140;1.89;0.39;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIA-B.ST;11;875;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=875&marketid=11
BEIJ-B.ST;BEIJER REF AB;330.0;55.6;127;65.6;146;63.2;172;61.5;148;2.15;1.36;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEIJ-B.ST;11;792;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=792&marketid=11
BELE.ST;BEIJER ELECTRONICS GROUP;28.5;81.2;126;61.8;157;64.5;191;69.2;158;1.67;0.62;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BELE.ST;11;5081;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5081&marketid=11
BERG-B.ST;BERGMAN & BEVING;86.6;76.5;134;63.9;180;65.8;274;68.7;196;2.22;1.63;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BERG-B.ST;11;793;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=793&marketid=11
BESQ.ST;BESQAB PROJEKT & FASTIGHETER;114.8;80.0;133;64.3;180;63.3;333;69.2;215;2.71;1.14;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BESQ.ST;11;101207;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101207&marketid=11
BETS-B.ST;BETSSON B;68.9;57.9;118;65.9;153;63.9;198;62.6;156;1.68;0.82;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BETS-B.ST;11;5121;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5121&marketid=11
BILI-A.ST;BILIA A;82.85;50.0;110;47.4;125;51.2;160;49.5;131;1.01;0.0;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILI-A.ST;11;794;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=794&marketid=11
BILL.ST;BILLERUD KORSNAS;126.5;33.3;88;43.2;91;59.5;120;45.3;99;0.85;0.41;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BILL.ST;11;14922;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=14922&marketid=11
