NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
GHP.ST;GHP SPECIALTY CARE;56.2;110;50.0;129;51.6;240;52.6;159;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;11;59064;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=59064&marketid=11
GHUS-B.ST;GOTENEHUS GROUP B;58.8;147;58.3;181;58.1;226;58.4;184;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHUS-B.ST;N/A;N/A;N/A
GOMX.ST;GOMSPACE GROUP;85.7;133;80.0;353;79.5;702;81.7;396;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST;11;123579;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123579&marketid=11
GPG-PREF.ST;GENOVA PROPERTY GROUP PRF;52.9;105;50.0;104;39.7;98;47.5;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPG-PREF.ST;N/A;N/A;N/A
GPX.ST;GASPOROX;61.1;146;53.8;172;53.5;188;56.1;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPX.ST;11;128307;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128307&marketid=11
GREAT.ST;GREATER THAN;53.8;88;52.0;196;48.8;193;51.5;159;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GREAT.ST;11;101192;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101192&marketid=11
GRNG.ST;GRANGES;58.8;101;62.1;122;52.1;138;57.7;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GRNG.ST;N/A;N/A;N/A
GTAB B;GLYCOREX TRANSPLANTATION B;69.2;119;39.4;78;42.4;111;50.3;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB B;N/A;N/A;N/A
GTGS.NGM;GOLD TOWN GAMES;43.5;199;54.8;385;57.1;871;51.8;485;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;N/A;N/A;N/A
GUGEO.NGM;GUIDELINE GEO;54.5;128;39.1;138;41.3;141;45.0;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM;N/A;N/A;N/A
GUNN.ST;GUNNEBO;73.3;133;64.9;148;57.5;166;65.2;149;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUNN.ST;11;816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=816&marketid=11
GWS.ST;GWS PRODUCTION;60.0;84;65.6;201;71.9;570;65.8;285;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GWS.ST;11;103191;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103191&marketid=11
HANC-PREF-A.ST;HANCAP PRF;53.3;107;44.0;120;44.9;135;47.4;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANC-PREF-A.ST;N/A;N/A;N/A
HANZA.ST;HANZA HOLDING;73.3;122;52.9;111;52.2;174;59.5;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANZA.ST;11;100972;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100972&marketid=11
HAV-B.ST;HAVSFRUN INVESTMENT B;30.8;91;22.6;79;27.0;73;26.8;81;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HAV-B.ST;N/A;N/A;N/A
HEBA-B.ST;HEBA FASTIGHETS B;22.2;92;23.5;85;34.8;89;26.8;88;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEBA-B.ST;N/A;N/A;N/A
HEIM-PREF.ST;HEIMSDATEN PRF;60.0;103;58.3;105;57.6;127;58.6;111;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEIM-PREF.ST;N/A;N/A;N/A
HELIO.ST;HELIOSPECTRA;73.7;325;53.8;461;50.7;1183;59.4;656;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HELIO.ST;11;101607;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101607&marketid=11
HEMC.ST;HEMCHECK SWEDEN;81.2;203;74.1;629;74.1;629;76.5;487;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;11;135098;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135098&marketid=11
HEMC-TO1.ST;HEMCHECK SWEDEN SUBSCR OPT;70.0;269;62.5;460;62.5;460;65.0;396;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC-TO1.ST;N/A;N/A;N/A
HEMF.ST;HEMFOSA FASTIGHETER AB;73.3;108;66.7;128;53.8;127;64.6;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF.ST;11;100152;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100152&marketid=11
HEMF-PREF.ST;HEMFOSA FASTIGHETER PRF;53.8;96;51.9;101;42.6;109;49.4;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST;N/A;N/A;N/A
HEXA-B.ST;HEXAGON B;63.2;115;58.1;111;55.2;143;58.8;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEXA-B.ST;N/A;N/A;N/A
HIFA-B.ST;HIFA B;47.4;104;62.5;123;60.9;136;56.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIFA-B.ST;N/A;N/A;N/A
HIQ.ST;HIQ INTERNATIONAL;60.9;113;66.7;141;64.6;233;64.1;162;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HIQ.ST;11;3540;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3540&marketid=11
HLDX.ST;HALDEX;50.0;113;47.6;113;53.0;174;50.2;133;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HLDX.ST;11;817;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=817&marketid=11
HM-B.ST;HENNES & MAURITZ B;47.4;94;52.4;105;53.8;125;51.2;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST;N/A;N/A;N/A
HMED.ST;HANSA MEDICAL;61.5;129;67.7;337;60.9;1412;63.4;626;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMED.ST;11;43288;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43288&marketid=11
HMS.ST;HMS NETWORKS;72.2;118;72.2;195;67.1;336;70.5;216;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HMS.ST;11;43302;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=43302&marketid=11
HOFI.ST;HOIST FINANCE;86.7;139;58.6;143;53.7;156;66.3;146;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOFI.ST;11;107904;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107904&marketid=11
HOGK-PREF-A.ST;AKTIEBOLAGET HOGKULLEN PRF;0.0;99;30.8;99;33.3;98;21.4;98;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOGK-PREF-A.ST;N/A;N/A;N/A
HOLM-A.ST;HOLMEN A;56.0;131;51.2;132;50.6;152;52.6;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-A.ST;N/A;N/A;N/A
HOLM-B.ST;HOLMEN B;61.5;121;58.1;136;53.4;169;57.7;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOLM-B.ST;N/A;N/A;N/A
HOVD.ST;HOVDING SVERIGE;64.7;106;55.6;122;51.4;418;57.2;215;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOVD.ST;11;110530;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110530&marketid=11
HOYLU.ST;HOYLU;58.3;153;72.7;398;72.7;398;67.9;316;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOYLU.ST;11;133092;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=133092&marketid=11
HPOL-B.ST;HEXPOL B;60.0;110;65.7;121;61.7;160;62.5;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HPOL-B.ST;N/A;N/A;N/A
HTRO.ST;HEXATRONIC GROUP;76.5;143;69.2;214;65.2;529;70.3;295;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HTRO.ST;11;82816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82816&marketid=11
HUFV-A.ST;HUFVUDSTADEN A;70.6;103;57.6;104;62.3;138;63.5;115;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUFV-A.ST;N/A;N/A;N/A
HUM.ST;HUMANA;52.6;106;61.5;129;53.6;126;55.9;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUM.ST;11;120363;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120363&marketid=11
HUSQ-A.ST;HUSQVARNA A;42.9;108;46.3;121;52.0;177;47.1;135;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUSQ-A.ST;N/A;N/A;N/A
HUSQ-B.ST;HUSQVARNA B;42.9;107;48.8;119;50.6;172;47.4;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HUSQ-B.ST;N/A;N/A;N/A
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;69.2;191;61.5;456;68.9;1275;66.5;640;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;N/A;N/A;N/A
ICA.ST;ICA GRUPPEN;64.7;96;68.6;107;60.9;122;64.7;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ICA.ST;N/A;N/A;N/A
ICTA-B.ST;INTELLECTA B;;;;;;;;;;N/A;N/A;N/A
IJ.ST;INTRUM JUSTITIA;;;;;;;;;;N/A;N/A;N/A
IMMNOV.ST;IMMUNOVIA;44.4;115;54.3;125;64.9;522;54.5;254;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMNOV.ST;11;115966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115966&marketid=11
IMMU.ST;IMMUNICUM;83.3;164;68.0;242;62.9;465;71.4;290;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMMU.ST;11;93632;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=93632&marketid=11
IMNP.ST;IMMUNE PHARMACEUTICALS;58.3;166;60.9;231;55.6;452;58.3;283;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMNP.ST;19;IMNP;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=IMNP&marketid=19
IMPC.ST;IMPACT COATINGS;47.6;66;45.5;63;54.0;199;49.0;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMPC.ST;11;28041;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=28041&marketid=11
INDEX.ST;INDEX PHARMACEUTICALS HOLDING;36.4;93;46.9;106;51.4;110;44.9;103;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDEX.ST;11;127479;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=127479&marketid=11
INDT.ST;INDUTRADE;69.2;108;78.3;159;77.4;225;75.0;164;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDT.ST;11;31308;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=31308&marketid=11
INDU-A.ST;INDUSTRIVARDEN A;53.3;101;64.5;130;62.7;178;60.2;136;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-A.ST;N/A;N/A;N/A
INDU-C.ST;INDUSTRIVARDEN C;78.6;109;65.6;124;61.1;169;68.4;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INDU-C.ST;N/A;N/A;N/A
INISS-B.ST;INISSION;57.1;121;50.0;136;50.9;185;52.7;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INISS-B.ST;N/A;N/A;N/A
INSTAL.ST;INSTALCO INTRESSENTER;53.3;125;52.6;128;52.6;128;52.8;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INSTAL.ST;11;137177;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=137177&marketid=11
INTU.ST;INTUITIVE AERIAL;75.0;158;55.9;133;43.9;91;58.3;127;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INTU.ST;11;105287;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=105287&marketid=11
INVE-A.ST;INVESTOR A;52.9;113;54.1;122;57.7;176;54.9;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-A.ST;N/A;N/A;N/A
INVE-B.ST;INVESTOR B;70.6;115;72.7;138;66.7;188;70.0;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INVE-B.ST;N/A;N/A;N/A
INWI.ST;INWIDO;80.0;125;75.0;155;66.7;223;73.9;167;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=INWI.ST;11;102786;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102786&marketid=11
IPCO.ST;INTERNATIONAL PETROLEUM CORPORATION;68.8;137;73.7;178;73.7;178;72.1;164;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IPCO.ST;11;136295;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136295&marketid=11
IQSE.NGM;IQS ENERGI KOMFORT;56.2;88;59.4;96;59.6;97;58.4;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IQSE.NGM;N/A;N/A;N/A
IRLAB-A.ST;IRLAB THERAPEUTICS;64.3;112;53.8;274;53.8;274;57.3;220;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IRLAB-A.ST;N/A;N/A;N/A
IS.ST;IMAGE SYSTEMS;38.5;95;46.4;102;51.6;165;45.5;120;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST;11;3571;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3571&marketid=11
ISOFOL.ST;ISOFOL MEDICAL;40.0;132;39.3;128;39.3;128;39.5;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISOFOL.ST;11;135681;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135681&marketid=11
ISR.ST;ISR IMMUNE SYSTEM REGULATION HOLDING;66.7;305;69.6;382;69.6;382;68.6;356;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST;11;135384;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135384&marketid=11
ITAB-B.ST;ITAB SHOP CONCEPT;57.1;107;60.7;120;62.5;169;60.1;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ITAB-B.ST;N/A;N/A;N/A
IVACC.ST;INTERVACC;66.7;113;61.1;128;61.1;128;63.0;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVACC.ST;11;135675;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135675&marketid=11
IVISYS.ST;IVISYS;57.1;162;57.9;213;56.1;131;57.0;168;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVISYS.ST;11;108037;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108037&marketid=11
IVSO.ST;INVISIO COMMUNICATIONS;71.4;105;64.3;190;60.6;239;65.4;178;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IVSO.ST;11;34597;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34597&marketid=11
JAYS.ST;JAYS;47.8;159;41.5;250;40.7;300;43.3;236;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JAYS.ST;11;75344;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75344&marketid=11
JLT.ST;JLT MOBILE;60.9;113;65.7;179;62.7;408;63.1;233;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JLT.ST;11;21189;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=21189&marketid=11
JM.ST;JM;63.2;103;69.7;126;70.1;199;67.7;142;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=JM.ST;11;13217;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=13217&marketid=11
K2A-PREF.ST;K2A KNAUST & AND ANDERSSON FASTIGHET;27.3;93;22.5;91;35.2;104;28.3;96;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=K2A-PREF.ST;N/A;N/A;N/A
KABE-B.ST;KABE HUSVAGNAR B;50.0;103;62.2;152;58.0;284;56.7;179;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KABE-B.ST;N/A;N/A;N/A
KAHL.ST;KAPPAHL;60.0;122;54.8;120;52.5;179;55.8;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAHL.ST;11;33359;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33359&marketid=11
KAMBI.ST;KAMBI GROUP;73.3;142;66.7;204;63.6;276;67.9;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAMBI.ST;11;101199;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101199&marketid=11
KAN.ST;KANCERA;64.7;141;60.0;177;57.6;221;60.8;179;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAN.ST;11;80745;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=80745&marketid=11
KAPIAB.ST;KALLEBACK PROPERTY INVEST;43.8;97;46.9;105;46.9;106;45.9;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KAPIAB.ST;11;100207;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100207&marketid=11
KARE.ST;KARESSA PHARMA;51.9;87;52.2;83;49.4;62;51.2;77;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARE.ST;11;106031;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106031&marketid=11
KARO.ST;KARO PHARMA;73.3;144;71.4;188;69.9;463;71.5;265;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KARO.ST;11;3927;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3927&marketid=11
KDEV.ST;KAROLINSKA DEV;89.5;265;64.9;234;50.7;216;68.4;238;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KDEV.ST;11;81547;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81547&marketid=11
KIND-SDB.ST;KINDRED GROUP SDR;57.1;126;59.0;145;63.0;260;59.7;177;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KIND-SDB.ST;N/A;N/A;N/A
KINV-A.ST;KINNEVIK A;66.7;116;63.6;143;67.2;206;65.8;155;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-A.ST;N/A;N/A;N/A
KINV-B.ST;KINNEVIK B;47.1;106;57.1;128;60.6;186;54.9;140;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KINV-B.ST;N/A;N/A;N/A
KLAR.ST;KLARIA PHARMA;66.7;133;63.4;143;59.4;249;63.2;175;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLAR.ST;11;114250;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=114250&marketid=11
KLED.ST;KUNGSLEDEN;73.3;104;66.7;124;63.8;151;67.9;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLED.ST;11;3546;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3546&marketid=11
KLOV-A.ST;KLOVERN A;57.1;103;63.6;134;53.5;161;58.1;132;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-A.ST;N/A;N/A;N/A
KLOV-B.ST;KLOVERN B;61.9;97;74.2;134;69.8;184;68.6;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-B.ST;N/A;N/A;N/A
KLOV-PREF.ST;KLOVERN PREF CNV PRF;63.2;105;67.7;118;66.2;130;65.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KLOV-PREF.ST;N/A;N/A;N/A
KNOW.ST;KNOW IT;70.0;138;63.6;142;51.3;239;61.6;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KNOW.ST;N/A;N/A;N/A
KOBR MTFB;KOPPARBERGS B;73.3;150;60.5;174;61.8;323;65.2;215;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOBR MTFB;N/A;N/A;N/A
KONT.ST;KONTIGO CARE;71.4;124;65.5;164;65.9;226;67.6;171;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KONT.ST;11;110540;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110540&marketid=11
KOPY.ST;KOPY GOLDFIELDS;50.0;94;41.7;97;50.0;220;47.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=KOPY.ST;11;77457;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=77457&marketid=11
LAGR-B.ST;LAGERCRANTZ GROUP B;66.7;126;70.3;172;62.3;222;66.4;173;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAGR-B.ST;N/A;N/A;N/A
LAMM-B.ST;LAMMHULTS DESIGN GROUP B;85.7;112;63.9;112;55.0;170;68.2;131;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAMM-B.ST;N/A;N/A;N/A
LATO-B.ST;LATOUR INVESTMENT B;61.9;107;53.8;126;57.5;170;57.7;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LATO-B.ST;N/A;N/A;N/A
LAUR.ST;LAURITZ.COM;71.4;234;61.8;373;62.0;480;65.1;362;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LAUR.ST;11;123678;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123678&marketid=11
LEO.ST;LEOVEGAS;78.9;159;65.9;275;50.7;283;65.2;239;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEO.ST;11;120184;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120184&marketid=11
LEX.ST;LEXINGTON COMPANY;60.9;141;58.8;181;56.7;279;58.8;200;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LEX.ST;11;106153;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106153&marketid=11
LIAB.ST;LINDAB INTERNATIONAL;73.7;117;60.0;138;61.6;187;65.1;147;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIAB.ST;11;37400;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37400&marketid=11
LIDDS.ST;LIDDS;64.7;189;63.3;302;51.6;264;59.9;251;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIDDS.ST;11;101904;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101904&marketid=11
LIFCO-B.ST;LIFCO B;81.0;145;76.9;187;72.2;289;76.7;207;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LIFCO-B.ST;N/A;N/A;N/A
LIFE B;LIFEASSAYS B;;;;;;;;;;N/A;N/A;N/A
LLSW-B.ST;LIGHTLAB SWE B;55.0;143;55.9;171;48.6;120;53.2;144;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LLSW-B.ST;N/A;N/A;N/A
LOOM-B.ST;LOOMIS B;64.7;139;63.6;159;70.1;296;66.1;198;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LOOM-B.ST;N/A;N/A;N/A
LUC.ST;LUCARA DIAMOND;60.9;138;58.1;165;65.3;280;61.4;194;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUC.ST;11;85525;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=85525&marketid=11
LUG.ST;LUNDIN GOLD;53.8;108;56.5;128;62.7;200;57.7;145;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUG.ST;11;105183;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=105183&marketid=11
LUMI.ST;LUNDIN MINING;50.0;164;53.1;189;53.1;189;52.1;180;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUMI.ST;11;27709;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27709&marketid=11
LUND-B.ST;LUNDBERGFORETAGEN B;68.4;102;72.7;125;69.8;187;70.3;138;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUND-B.ST;N/A;N/A;N/A
LUPE.ST;LUNDIN PETROLEUM;64.7;123;59.0;113;57.7;168;60.5;134;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=LUPE.ST;11;22335;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=22335&marketid=11
MACK-B.ST;MACKMYRA SVENSK WHISKEY B;63.2;132;57.6;229;44.9;202;55.2;187;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MACK-B.ST;N/A;N/A;N/A
MAG.ST;MAGNOLIA BOSTAD;82.4;185;71.4;252;63.0;488;72.3;308;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAG.ST;11;110088;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110088&marketid=11
MAHA-A.ST;MAHA ENERGY;45.0;122;59.4;149;60.9;186;55.1;152;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAHA-A.ST;N/A;N/A;N/A
MAHA-A-TO-1.ST;MAHA ENERGY SUBSCR OPT;;;;;;;;;;N/A;N/A;N/A
MANTEX.ST;MANTEX;66.7;180;66.7;280;66.7;280;66.7;246;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MANTEX.ST;11;136007;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136007&marketid=11
MATRA.ST;MATRA PETROLEUM;46.7;130;56.5;189;56.5;189;53.2;169;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MATRA.ST;11;136267;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136267&marketid=11
MAV.ST;MAVSHACK AB;83.3;174;73.5;1452;70.3;4932;75.7;2186;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MAV.ST;11;58547;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=58547&marketid=11
