NAMESHORT_SB;NAME_SB;MONTH_6_PERCENT;MONTH_6_VALUE;MONTH_12_PERCENT;MONTH_12_VALUE;MONTH_24_PERCENT;MONTH_24_VALUE;AVERAGE_PERCENT;AVERAGE_VALUE;URL_SB;VALUE_PERCENT_INDEX
DIOS.ST;DIOS FASTIGHETER;39.1;113;48.8;125;53.2;140;47;126;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;5.922
ALIF-B.ST;ADDLIFE;50;86;57.5;87;58.1;148;55.2;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ALIF-B.ST;5.9064
PNVA.NGM;PAYNOVA;41.2;88;51.7;115;52.5;160;48.5;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PNVA.NGM;5.8685
FMM-B.ST;FM MATTSSON MORA GROUP;61.1;115;50;107;50;107;53.7;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FMM-B.ST;5.8533
COMPI.NGM;COMPUTER INNOVATION I VAXJO;45;87;50;72;54.2;193;49.7;117;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;5.8149
MQ.ST;MQ HOLDING;50;114;50;106;54.3;120;51.4;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MQ.ST;5.8082
NCC-B.ST;NCC B;50;95;51.4;112;52.9;134;51.4;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NCC-B.ST;5.8082
BONG.ST;BONG;46.7;107;42.4;125;44.1;158;44.4;130;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BONG.ST;5.772
BTS-B.ST;BTS GROUP B;70.6;104;54.3;95;47.8;102;57.6;100;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BTS-B.ST;5.76
ZETA-PREF.ST;ZETADISPLAY PRF;60;98;52.9;108;52.9;108;55.3;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ZETA-PREF.ST;5.7512
VOLO.ST;VOLATI;43.8;105;47.4;134;47.5;133;46.2;124;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VOLO.ST;5.7288
MEAB-B.ST;MALMBERGS ELEKTRISKA B;42.9;107;54.8;112;53.8;122;50.5;113;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEAB-B.ST;5.7065
XMWO.ST;DBX MSCI WORLD ETF;60;110;43.3;105;51.6;117;51.6;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XMWO.ST;5.676
HANC-PREF-A.ST;HANCAP PRF;53.3;107;44.4;117;44.9;135;47.5;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANC-PREF-A.ST;5.6525
CORE-PREF.ST;COREM PROPERTY GROUP PRF;50;106;46.7;115;51.6;123;49.4;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CORE-PREF.ST;5.6316
ISOFOL.ST;ISOFOL MEDICAL;45;132;42.9;128;42.9;128;43.6;129;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISOFOL.ST;5.6244
HM-B.ST;HENNES & MAURITZ B;47.6;99;52.4;105;53.8;125;51.3;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HM-B.ST;5.5917
AXFO.ST;AXFOOD;54.5;113;41.3;106;51.2;123;49;114;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AXFO.ST;5.586
AHSL.ST;AHLSELL;52.2;98;56.8;97;58;102;55.7;99;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AHSL.ST;5.5143
UFLX-B.ST;UNIFLEX B;46.2;113;40;119;46.2;144;44.1;125;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=UFLX-B.ST;5.5125
DIAH.ST;DIADROM HOLDING;50;101;50;115;50;115;50;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST;5.5
IQSE.NGM;IQS ENERGI KOMFORT;58.8;89;57.6;93;59.6;97;58.7;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IQSE.NGM;5.4591
XACT-BEAR.ST;XACT BEAR ETF;50;111;47.2;112;51.2;108;49.5;110;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT-BEAR.ST;5.445
ORGC.ST;ORGANOCLICK;47.6;95;55.3;96;52.1;126;51.7;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ORGC.ST;5.4285
SAGA-D.ST;SAGAX LINE D;38.5;100;58.6;113;54.5;110;50.5;107;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAGA-D.ST;5.4035
ACARIX.ST;ACARIX;61.5;109;54.5;88;54.5;88;56.8;95;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACARIX.ST;5.396
XACT.ST;XACT OMX30 ETF;46.2;104;45.5;97;58;124;49.9;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=XACT.ST;5.3892
SECT-B.ST;SECTRA B;35;105;38.2;120;44.4;187;39.2;137;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SECT-B.ST;5.3704
SWED-A.ST;SWEDBANK A;64.7;108;40.5;92;48.1;115;51.1;105;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SWED-A.ST;5.3655
IMPC.ST;IMPACT COATINGS;47.6;66;45.5;63;54;199;49;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IMPC.ST;5.341
VRG-B.ST;VENUE B;42.1;99;41.9;98;47.7;167;43.9;121;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=VRG-B.ST;5.3119
IS.ST;IMAGE SYSTEMS;35.7;91;46.4;102;51.6;165;44.6;119;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IS.ST;5.3074
WISE.ST;WISE GROUP;43.8;113;40.5;112;45.1;144;43.1;123;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=WISE.ST;5.3013
GTAB B;GLYCOREX TRANSPLANTATION B;66.7;123;41.2;82;41.5;114;49.8;106;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB B;5.2788
NAXS.ST;NAXS;71.4;102;50;92;48.1;87;56.5;93;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NAXS.ST;5.2545
BRG-B.ST;BERGS TIMBER B;47.4;100;51.4;111;46.7;113;48.5;108;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BRG-B.ST;5.238
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;52.9;101;51.5;108;46.4;104;50.3;104;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST;5.2312
AM1S.ST;AHLSTROM-MUNKSJO;33.3;90;38.3;101;50.6;194;40.7;128;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=AM1S.ST;5.2096
HEMF-PREF.ST;HEMFOSA FASTIGHETER PRF;53.8;96;55.2;103;42.6;109;50.5;102;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST;5.151
ASSA-B.ST;ASSA ABLOY B;43.5;98;43.2;106;54.5;123;47.1;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ASSA-B.ST;5.1339
NWG.ST;NORDIC WATERPROOFING HOLDING;42.9;106;50;114;47.6;109;46.8;109;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NWG.ST;5.1012
