NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_24_PERCENT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
DIAH.ST;DIADROM HOLDING;17.5;52.9;100;52.0;114;52.0;114;52.3;109;63.6;1.29;0.54;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIAH.ST;11;40563;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40563&marketid=11
DIGN.ST;DIGNITANA;4.41;69.2;559;57.1;660;57.8;1004;61.4;741;51.6;6.67;-0.09;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIGN.ST;11;66773;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66773&marketid=11
DIOS.ST;DIOS FASTIGHETER;56.1;39.1;99;48.8;126;51.9;137;46.6;120;59.5;1.34;0.21;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIOS.ST;11;34271;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=34271&marketid=11
DIST.ST;DISTIT;40.1;62.5;118;60.7;129;56.5;266;59.9;171;50.0;3.25;-0.69;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIST.ST;11;81545;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81545&marketid=11
DIVI-B.NGM;DIVIDEND SWEDEN;0.355;70.6;181;66.7;314;72.7;1851;70.0;782;73.1;9.96;2.96;27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;N/A;N/A;N/A
DMYD-B.ST;DIAMYD MEDICAL B;3.5;50.0;114;44.4;95;43.1;160;45.8;123;42.9;2.11;-0.98;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DMYD-B.ST;11;94266;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=94266&marketid=11
DOM.ST;DOMETIC GROUP;86.4;56.5;111;67.4;138;65.8;178;63.2;142;66.7;2.03;1.51;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOM.ST;11;115619;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=115619&marketid=11
DOME.ST;DOME ENERGY;0.542;43.8;107;50.0;157;55.7;387;49.8;217;52.9;3.61;0.22;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOME.ST;11;79783;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=79783&marketid=11
DORO.ST;DORO;44.0;76.9;120;66.7;148;71.0;262;71.5;176;61.8;1.93;0.48;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DORO.ST;11;896;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=896&marketid=11
DOXA.ST;DOXA;1.24;81.2;226;71.0;252;60.7;512;71.0;330;56.7;4.66;1.05;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DOXA.ST;11;100241;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100241&marketid=11
DRIL.ST;DRILLCON;6.84;50.0;111;46.4;159;51.6;211;49.3;160;50.0;2.73;0.4;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DRIL.ST;11;35729;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=35729&marketid=11
DUNI.ST;DUNI;116.4;60.0;114;54.3;120;60.3;146;58.2;126;58.3;1.4;0.56;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUNI.ST;11;49775;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49775&marketid=11
DURC-B.ST;DUROC B;23.8;63.2;155;63.4;244;64.6;316;63.7;238;59.4;3.33;1.58;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DURC-B.ST;11;4005;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4005&marketid=11
DUST.ST;DUSTIN GROUP;76.8;72.2;116;68.4;137;52.4;115;64.3;122;56.1;0.82;0.37;42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DUST.ST;11;106202;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106202&marketid=11
EAST.ST;EASTNINE;88.8;53.3;120;51.9;136;54.4;193;53.2;149;67.9;2.97;1.87;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EAST.ST;11;49615;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=49615&marketid=11
EDGE.ST;EDGEWARE;17.6;26.7;69;54.1;91;56.4;93;45.7;84;42.1;0.3;0.0;19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EDGE.ST;11;129609;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129609&marketid=11
EFFP.ST;EFFNETPLATTFORMEN;11.8;22.7;67;35.0;70;35.0;70;30.9;69;26.3;-1.06;-1.9;20;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EFFP.ST;11;131602;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=131602&marketid=11
EKTA-B.ST;ELEKTA B;89.12;80.0;130;72.7;161;70.6;242;74.4;177;73.5;2.5;0.89;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EKTA-B.ST;11;806;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=806&marketid=11
ELAN-B.ST;ELANDERS B;82.2;56.2;102;59.0;121;55.3;206;56.8;143;59.5;2.21;0.89;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELAN-B.ST;11;897;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=897&marketid=11
ELEC.ST;ELECTRA GRUPPEN;66.6;36.8;101;35.1;94;37.0;98;36.3;97;38.9;0.4;-0.76;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELEC.ST;N/A;N/A;N/A
ELN.ST;ELLEN;0.311;57.9;272;52.9;268;45.5;161;52.1;233;44.7;3.95;-1.29;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELN.ST;11;42472;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=42472&marketid=11
ELOS-B.ST;ELOS MEDTECH;69.0;42.1;84;41.5;80;50.7;101;44.8;88;44.1;0.3;-0.21;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELOS-B.ST;11;947;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=947&marketid=11
ELTEL.ST;ELTEL;26.0;66.7;113;71.1;198;62.9;204;66.9;171;61.8;2.73;1.31;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELTEL.ST;11;106028;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=106028&marketid=11
ELUX-A.ST;ELECTROLUX A;276.0;76.9;110;75.0;132;73.4;178;75.1;140;67.7;2.22;1.26;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-A.ST;11;80;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=80&marketid=11
ELUX-B.ST;ELECTROLUX B;272.7;52.6;102;58.1;112;64.4;143;58.4;119;66.7;1.29;1.41;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ELUX-B.ST;11;81;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81&marketid=11
ENDO.ST;ENDOMINES;7.98;68.4;125;61.8;230;61.8;495;64.0;283;42.4;5.02;-0.54;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENDO.ST;11;41059;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41059&marketid=11
ENEA.ST;ENEA;79.0;60.0;105;63.6;120;62.5;173;62.0;132;66.7;1.96;1.38;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENEA.ST;11;1149;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=1149&marketid=11
ENERS.ST;ENERSIZE;5.15;73.3;125;70.6;135;70.6;135;71.5;131;42.9;1.52;-0.0;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENERS.ST;11;139583;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139583&marketid=11
ENG.ST;INTERNATIONELLA ENGELSKA SKOLAN I SV;68.0;56.2;116;46.7;130;50.0;136;51.0;127;50.0;1.77;0.37;17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENG.ST;11;126934;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126934&marketid=11
ENQ.ST;ENQUEST;3.43;77.8;192;65.0;189;66.7;972;69.8;451;63.2;6.57;1.81;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENQ.ST;11;75073;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=75073&marketid=11
ENRO.ST;ENIRO;0.056;66.7;304;62.2;419;62.5;592;63.8;438;55.6;5.86;0.68;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO.ST;11;11046;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=11046&marketid=11
ENRO-PREF.ST;ENIRO PRF;150.0;58.3;117;56.2;252;58.5;310;57.7;226;53.1;5.0;0.46;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENRO-PREF.ST;11;88768;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=88768&marketid=11
ENZY.ST;ENZYMATICA;4.45;50.0;136;55.6;152;54.8;248;53.5;178;47.2;3.85;-0.32;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ENZY.ST;11;82655;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82655&marketid=11
EOID.NGM;EYEONID GROUP;11.38;75.0;174;68.4;884;73.9;2144;72.4;1067;77.3;15.33;7.36;23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;N/A;N/A;N/A
EOLU-B.ST;EOLUS VIND B;32.6;57.9;114;48.8;122;54.9;153;53.9;129;65.7;1.45;0.5;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOLU-B.ST;11;66174;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=66174&marketid=11
EOS.ST;EOS RUSSIA;15.3;52.9;108;63.3;161;66.0;217;60.7;162;73.9;4.11;1.9;23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOS.ST;11;41064;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=41064&marketid=11
EPIS-B.ST;EPISURF MEDICALORD;6.34;56.2;130;64.5;195;66.7;486;62.5;270;62.1;4.63;0.76;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EPIS-B.ST;11;78419;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=78419&marketid=11
ERIC-A.ST;ERICSSON A;55.7;58.8;111;69.7;129;65.2;136;64.6;125;64.7;1.44;1.21;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-A.ST;11;100;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100&marketid=11
ERIC-B.ST;ERICSSON B;56.26;81.2;130;81.2;182;63.2;215;75.2;175;64.9;1.45;1.56;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ERIC-B.ST;11;101;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101&marketid=11
ESSITY-A.ST;ESSITY;229.0;39.1;99;40.0;98;40.0;98;39.7;98;41.7;0.45;-0.26;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-A.ST;11;139300;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139300&marketid=11
ESSITY-B.ST;ESSITY;228.3;72.2;116;75.0;116;75.0;116;74.1;116;88.9;1.88;1.35;10;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ESSITY-B.ST;11;139301;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=139301&marketid=11
ETX.ST;ETRION;1.762;62.5;114;48.4;101;54.2;167;55.0;127;48.3;1.22;-0.98;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ETX.ST;11;78547;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=78547&marketid=11
EVO.ST;EVOLUTION GAMING GROUP;567.0;63.6;119;62.5;178;68.8;355;65.0;217;74.4;3.54;2.36;40;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EVO.ST;11;107867;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107867&marketid=11
EWRK.ST;EWORK GROUP;98.5;61.9;106;57.8;119;57.1;187;58.9;137;63.2;2.0;0.97;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EWRK.ST;11;72798;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72798&marketid=11
EXPRS2.ST;EXPRES2ION BIOTECH HOLDING;11.0;60.9;246;59.0;288;56.1;285;58.7;273;53.6;5.11;0.91;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EXPRS2.ST;11;125185;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=125185&marketid=11
FABG.ST;FABEGE AB;183.1;78.9;124;54.1;134;57.3;192;63.4;150;59.5;1.94;0.35;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FABG.ST;11;861;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=861&marketid=11
FAG.ST;FAGERHULT;102.2;77.8;130;64.3;163;65.4;372;69.2;221;63.2;3.93;1.79;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FAG.ST;11;903;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=903&marketid=11
FEEL.ST;FEELGOOD SVENSKA;3.585;35.3;94;45.9;120;49.3;470;43.5;228;55.9;5.65;0.2;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FEEL.ST;11;5053;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=5053&marketid=11
FIL.ST;FILO MINING;15.35;57.1;96;57.7;130;55.6;146;56.8;124;52.9;3.13;0.19;18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIL.ST;11;126319;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126319&marketid=11
FING-B.ST;FINGERPRINT CARDS B;9.988;54.5;115;51.4;165;55.6;317;53.8;199;48.4;1.14;-0.9;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FING-B.ST;11;4870;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4870&marketid=11
FIRE.ST;FIREFLY;41.9;41.2;94;38.7;99;43.3;115;41.1;102;42.4;0.96;-0.21;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FIRE.ST;11;59997;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=59997&marketid=11
FMM-B.ST;FM MATTSSON MORA GROUP;83.6;62.5;113;50.0;107;50.0;107;54.2;109;63.6;1.19;0.69;12;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FMM-B.ST;11;136221;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=136221&marketid=11
FNMA-PREF.ST;FNMA PREF PRF;1260.0;33.3;96;36.8;106;44.7;166;38.3;122;65.2;2.7;1.79;23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FNMA-PREF.ST;11;98392;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98392&marketid=11
FOI-B.ST;FENIX OUTDOOR INTERNATIONAL;1086.0;64.7;141;66.7;174;57.5;317;63.0;210;62.8;3.27;1.34;43;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOI-B.ST;11;101639;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101639&marketid=11
FOOT-PREF.ST;FOOTWAY GROUP PRF;113.0;33.3;90;29.6;89;29.6;89;30.8;89;30.8;-0.05;-0.67;13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FOOT-PREF.ST;11;110741;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110741&marketid=11
FPAR.ST;FAST PARTNER;141.5;57.9;107;57.9;126;63.8;263;59.9;165;61.8;2.74;1.5;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR.ST;11;980;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=980&marketid=11
FPAR-PREF.ST;FASTPARTNER PRF;348.0;53.3;101;35.1;99;42.4;103;43.6;101;50.0;0.44;0.08;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPAR-PREF.ST;11;94771;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=94771&marketid=11
FPIP.ST;FORMPIPE;12.95;56.2;106;50.0;122;46.8;165;51.0;131;50.0;2.05;0.0;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FPIP.ST;11;72565;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=72565&marketid=11
FRIM.ST;ROBERT FRIMAN INTERNATIONAL;;;;;;;;;;;;;;;N/A;N/A;N/A
FRISQ.ST;FRISQ HOLDING;24.0;73.9;230;63.4;197;63.3;194;66.9;207;62.5;3.62;0.64;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRISQ.ST;11;127937;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=127937&marketid=11
FRNT-B.NGM;FRONTOFFICE NORDIC B;3.02;65.0;94;50.0;88;55.9;249;57.0;143;44.8;3.59;-0.58;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=FRNT-B.NGM;N/A;N/A;N/A
G5EN.ST;G5 ENTERTAINMENT;347.6;60.0;161;58.3;269;63.6;2054;60.6;828;84.2;8.27;6.59;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;11;60158;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11
GAPW-B.ST;GAPWAVES;19.62;80.0;508;58.1;781;57.6;854;65.2;714;62.5;18.89;3.62;16;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GAPW-B.ST;11;128818;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128818&marketid=11
GAPW-TO-1B.ST;GAPWAVES SUBSCR OPT;;;;;;;;;;;;;;;N/A;N/A;N/A
GARO.ST;GARO;175.6;68.4;128;65.7;139;60.9;294;65.0;187;61.8;3.05;1.34;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GARO.ST;11;119990;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=119990&marketid=11
GCOR.ST;GAMING CORPS;0.501;86.7;248;55.8;194;60.6;524;67.7;322;48.6;4.15;0.0;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GCOR.ST;11;110080;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110080&marketid=11
GENO.ST;GENOVIS B;3.68;76.9;118;55.6;174;45.6;189;59.4;160;46.4;3.09;-1.26;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GENO.ST;11;36315;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=36315&marketid=11
GETI-B.ST;GETINGE B;108.35;84.6;121;60.6;137;55.8;149;67.0;135;60.5;0.76;0.68;38;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GETI-B.ST;11;812;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=812&marketid=11
GHP.ST;GHP SPECIALTY CARE;8.29;50.0;109;50.0;129;51.6;240;50.5;159;50.0;2.57;0.22;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHP.ST;11;59064;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=59064&marketid=11
GHUS-B.ST;GOTENEHUS GROUP B;4.64;55.6;147;60.0;182;56.2;222;57.3;183;58.3;2.02;0.8;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GHUS-B.ST;11;37306;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37306&marketid=11
GOMX.ST;GOMSPACE GROUP;62.8;81.2;152;78.1;403;78.3;803;79.2;452;68.2;10.9;2.64;23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GOMX.ST;11;123579;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123579&marketid=11
GPG-PREF.ST;GENOVA PROPERTY GROUP PRF;122.5;50.0;104;47.5;102;40.0;97;45.8;101;38.2;0.38;-0.2;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPG-PREF.ST;11;116646;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=116646&marketid=11
GPX.ST;GASPOROX;14.1;64.7;148;53.8;172;53.5;188;57.3;169;52.4;1.43;-0.9;21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GPX.ST;11;128307;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128307&marketid=11
GREAT.ST;GREATER THAN;27.0;53.8;88;52.0;196;48.8;193;51.5;159;50.0;4.58;-0.32;19;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GREAT.ST;11;101192;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101192&marketid=11
GRNG.ST;GRANGES;90.3;57.9;101;61.3;123;53.5;139;57.6;121;58.8;1.5;0.59;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GRNG.ST;11;103110;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103110&marketid=11
GTAB B;GLYCOREX TRANSPLANTATION B;2.65;58.3;114;38.2;77;41.8;109;46.1;100;42.4;1.83;-0.85;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTAB B;N/A;N/A;N/A
GTGS.NGM;GOLD TOWN GAMES;5.6;50.0;306;57.1;385;58.9;871;55.3;520;55.6;9.85;0.7;28;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GTGS.NGM;N/A;N/A;N/A
GUGEO.NGM;GUIDELINE GEO;7.14;58.3;191;41.7;207;42.6;210;47.5;202;34.8;2.33;-0.77;23;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUGEO.NGM;N/A;N/A;N/A
GUNN.ST;GUNNEBO;30.85;73.3;133;64.9;148;57.7;164;65.3;148;54.3;1.07;0.31;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GUNN.ST;11;816;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=816&marketid=11
GWS.ST;GWS PRODUCTION;2.99;60.0;84;65.6;201;71.9;570;65.8;285;58.1;4.66;0.58;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=GWS.ST;11;103191;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103191&marketid=11
HANC-PREF-A.ST;HANCAP PRF;33.0;56.2;111;46.2;125;46.0;141;49.5;125;50.0;1.83;0.0;25;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANC-PREF-A.ST;11;108039;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108039&marketid=11
HANZA.ST;HANZA HOLDING;12.8;80.0;122;54.5;110;52.2;171;62.2;134;57.6;2.11;0.45;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HANZA.ST;11;100972;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100972&marketid=11
HAV-B.ST;HAVSFRUN INVESTMENT B;19.65;35.7;92;25.0;79;28.1;73;29.6;81;25.8;-0.39;-0.81;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HAV-B.ST;11;990;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=990&marketid=11
HEBA-B.ST;HEBA FASTIGHETS B;107.5;31.2;92;26.5;85;36.4;89;31.4;88;34.4;0.04;-0.12;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEBA-B.ST;11;991;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=991&marketid=11
HEIM-PREF.ST;HEIMSDATEN PRF;329.0;66.7;104;58.3;105;57.6;127;60.9;112;59.4;0.94;0.37;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEIM-PREF.ST;11;110093;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110093&marketid=11
HELIO.ST;HELIOSPECTRA;6.52;75.0;320;55.0;454;51.4;1165;60.5;646;45.7;6.72;0.0;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HELIO.ST;11;101607;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101607&marketid=11
HEMC.ST;HEMCHECK SWEDEN;9.29;81.2;203;74.1;629;74.1;629;76.5;487;76.9;16.67;4.79;13;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;11;135098;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135098&marketid=11
HEMC-TO1.ST;HEMCHECK SWEDEN SUBSCR OPT;1.65;70.0;269;62.5;460;62.5;460;65.0;396;57.1;21.47;8.65;8;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC-TO1.ST;N/A;N/A;N/A
HEMF.ST;HEMFOSA FASTIGHETER AB;99.05;69.2;103;66.7;128;55.6;133;63.8;121;64.5;1.32;0.65;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF.ST;11;100152;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100152&marketid=11
HEMF-PREF.ST;HEMFOSA FASTIGHETER PRF;181.5;53.8;96;51.9;101;42.6;109;49.4;102;50.0;0.61;0.0;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMF-PREF.ST;11;104593;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=104593&marketid=11
HEXA-B.ST;HEXAGON B;492.6;63.2;115;58.1;111;56.5;144;59.3;123;69.0;1.54;0.8;42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEXA-B.ST;11;819;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=819&marketid=11
