NAMESHORT_SB;NAME_SB;PRICE;MONTH_6_PERCENT_CORRECT;MONTH_6_VALUE;MONTH_12_PERCENT_CORRECT;MONTH_12_VALUE;MONTH_24_PERCENT_CORRECT;MONTH_24_VALUE;AVERAGE_PERCENT_CORRECT;AVERAGE_VALUE;BUYS_24_PERCENT;BUY_AVERAGE_PERCENT_CHANGE;BUY_MEDIAN_PERCENT_CHANGE;BUYS_TOTAL;URL_SB;MARKET_ID;IDENTIFIER_ID;URL_NN
CANTA.ST;CANTARGIA;8.0;60.0;158;67.9;239;61.5;275;63.1;224;59.4;3.14;2.01;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CANTA.ST;11;107644;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=107644&marketid=11
CAPAC.ST;CAPACENT HOLDING;39.3;52.9;138;54.8;147;61.8;228;56.5;171;63.0;2.34;1.16;27;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPAC.ST;11;113748;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113748&marketid=11
CAPIO.ST;CAPIO;42.7;40.0;93;52.5;100;51.2;109;47.9;100;55.0;0.55;0.21;41;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAPIO.ST;11;110740;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110740&marketid=11
CASO.ST;CASSANDRA OIL;0.352;75.0;220;63.3;239;65.6;417;68.0;292;51.6;2.51;0.23;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CASO.ST;11;25660;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=25660&marketid=11
CAST.ST;CASTELLUM;137.9;52.9;106;54.1;121;50.6;125;52.5;117;60.0;0.97;0.55;40;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAST.ST;11;966;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=966&marketid=11
CAT-A.ST;CATELLA A;22.5;72.7;114;54.8;127;60.0;164;62.5;135;35.3;1.68;-0.22;17;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-A.ST;N/A;N/A;N/A
CAT-B.ST;CATELLA B;21.6;47.8;99;53.5;121;53.2;146;51.5;122;59.0;1.23;0.8;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CAT-B.ST;11;62559;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=62559&marketid=11
CATE.ST;CATENA;156.8;63.2;105;60.6;122;57.6;134;60.5;120;62.1;1.52;0.86;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CATE.ST;N/A;N/A;N/A
CBA.ST;CYBAERO;1.46;62.5;118;68.8;517;65.2;1035;65.5;556;62.5;4.65;3.51;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBA.ST;11;40870;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40870&marketid=11
CBTT-B.ST;CHRISTIAN BERNER TECH TRADE;18.4;50.0;100;50.0;99;44.1;98;48.0;99;45.5;0.29;-0.45;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CBTT-B.ST;11;103391;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103391&marketid=11
CCC.ST;CAVOTEC;23.2;64.3;108;54.8;120;59.0;221;59.4;149;50.0;2.4;-0.18;30;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCC.ST;11;84962;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=84962&marketid=11
CCOR-B.ST;CONCORDIA MARITIME B;10.95;70.0;113;42.9;90;45.8;95;52.9;99;41.4;0.86;0.0;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CCOR-B.ST;11;971;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=971&marketid=11
CE.ST;CORTUS ENERGY;0.716;66.7;153;68.8;540;68.8;5463;68.1;2052;61.3;12.5;3.98;32;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CE.ST;N/A;N/A;N/A
CELLNK-B.ST;CELLINK;134.0;65.2;168;68.3;223;69.8;284;67.8;225;66.7;5.21;1.53;21;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CELLNK-B.ST;11;128490;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128490&marketid=11
CEVI.ST;CELLAVISION;145.9;65.4;126;68.2;253;67.0;780;66.9;386;72.1;4.71;1.69;44;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CEVI.ST;11;40679;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=40679&marketid=11
CFISH.ST;CRUNCHFISH;13.96;50.0;141;51.2;359;50.0;378;50.4;292;42.9;5.96;-0.51;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CFISH.ST;11;128641;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=128641&marketid=11
CHRO.ST;CHROMOGENICS;0.804;83.3;171;88.9;211;88.9;211;87.0;197;75.0;2.98;1.01;9;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CHRO.ST;11;135174;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135174&marketid=11
CI-B.ST;CELL IMPACT B;10.9;50.0;217;40.0;204;56.1;1026;48.7;482;46.9;6.4;-0.84;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CI-B.ST;N/A;N/A;N/A
CINN.ST;CINNO FIN TECH;59.1;68.8;115;63.9;133;64.7;279;65.8;175;63.6;3.42;0.65;34;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CINN.ST;11;102935;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=102935&marketid=11
CLA-B.ST;CLOETTA B;32.2;68.8;124;55.0;104;52.6;156;58.8;128;57.9;1.58;0.59;39;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLA-B.ST;11;63225;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=63225&marketid=11
CLAS-B.ST;CLAS OHLSON B;94.45;58.3;102;52.3;114;48.8;121;53.1;112;48.8;0.38;0.0;42;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAS-B.ST;11;4145;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=4145&marketid=11
CLAV.ST;CLAVISTER HOLDING;19.4;75.0;157;68.8;383;71.0;735;71.6;425;63.3;4.25;1.77;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLAV.ST;11;100970;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=100970&marketid=11
CLBIO.ST;CORLINE BIOMED;10.45;55.6;105;52.9;120;52.8;303;53.8;176;45.7;2.97;0.0;36;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLBIO.ST;11;110074;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110074&marketid=11
CLDRE-B.NGM;CLOUDREPUBLIC;8.98;57.9;53;52.2;44;52.2;44;54.1;47;54.5;-1.16;-3.64;11;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLDRE-B.NGM;N/A;N/A;N/A
CLEANT-A.ST;CLEANTECH INVEST;;;;;;;;;;;;;;;N/A;N/A;N/A
CLEM.ST;CLEMENDO GROUP;1.46;71.4;99;53.3;96;53.3;182;59.3;125;57.1;2.7;1.03;22;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEM.ST;11;98835;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=98835&marketid=11
CLEMO.ST;CLEAN MOTION;9.0;58.3;113;56.2;194;54.2;198;56.2;168;47.8;2.77;0.0;24;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLEMO.ST;11;122709;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=122709&marketid=11
CLS-B.ST;CLINICAL LASERTHERMIA SYSTEMS B;12.95;58.8;209;63.6;314;52.1;497;58.2;340;45.7;4.64;-0.73;35;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLS-B.ST;11;65182;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=65182&marketid=11
CLX.ST;CLX COMMUNICATIONS;60.9;50.0;130;50.0;152;48.5;244;49.5;175;62.5;2.42;0.66;33;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CLX.ST;11;113927;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=113927&marketid=11
CMOTEC-B.ST;SCANDINAVIAN CHEMOTECH;30.0;61.5;241;62.1;280;61.3;277;61.6;266;50.0;4.66;-0.63;15;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=CMOTEC-B.ST;11;129569;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=129569&marketid=11
COGS.ST;COGNOSEC;0.35;75.0;168;57.7;283;58.3;494;63.7;315;58.8;9.8;5.34;18;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COGS.ST;11;126905;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=126905&marketid=11
COIC.ST;CONCENTRIC;139.6;45.8;110;56.5;131;56.5;181;52.9;140;60.0;1.51;0.53;46;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COIC.ST;11;82656;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=82656&marketid=11
COLL.ST;COLLECTOR;68.8;75.0;121;53.8;102;56.8;156;61.9;126;50.0;0.92;0.23;37;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COLL.ST;11;110079;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=110079&marketid=11
COMH.ST;COM HEM HOLDING;137.8;66.7;114;58.1;125;55.6;166;60.1;135;71.0;2.15;0.56;31;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMH.ST;11;101281;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101281&marketid=11
COMPI.NGM;COMPUTER INNOVATION I VAXJO;0.091;45.0;87;48.6;61;54.2;193;49.3;113;37.9;3.59;-1.06;29;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=COMPI.NGM;N/A;N/A;N/A
